model,% resolved,avg. cost
"🆕 Claude 4.5 Opus (high reasoning)","76.80","$0.75"
"🆕 Gemini 3 Flash (high reasoning)","75.80","$0.36"
"🆕 MiniMax M2.5 (high reasoning)","75.80","$0.07"
"🆕 Claude Opus 4.6","75.60","$0.55"
"🆕 Claude 4.5 Opus medium (20251101)","74.40","$0.72"
"🆕 Gemini 3 Pro Preview (2025-11-18)","74.20","$0.46"
"🆕 GLM-5 (high reasoning)","72.80","$0.53"
"🆕 GPT-5-2 (high reasoning)","72.80","$0.47"
"🆕 GPT-5.2 (2025-12-11) (high reasoning)","71.80","$0.52"
"🆕 Claude 4.5 Sonnet (high reasoning)","71.40","$0.66"
"🆕 Kimi K2.5 (high reasoning)","70.80","$0.15"
"Claude 4.5 Sonnet (20250929)","70.60","$0.56"
"🆕 DeepSeek V3.2 (high reasoning)","70.00","$0.45"
"🆕 GPT-5.2 (2025-12-11)","69.00","$0.27"
"Claude 4 Opus (20250514)","67.60","$1.13"
"🆕 Claude 4.5 Haiku (high reasoning)","66.60","$0.33"
"🆕 GPT-5.1-codex (medium reasoning)","66.00","$0.59"
"🆕 GPT-5.1 (2025-11-13) (medium reasoning)","66.00","$0.31"
"GPT-5 (2025-08-07) (medium reasoning)","65.00","$0.28"
"Claude 4 Sonnet (20250514)","64.93","$0.37"
"🆕 Kimi K2 Thinking","63.40","$0.44"
"🆕 Minimax M2","61.00","$0.43"
"🆕 DeepSeek V3.2 Reasoner","60.00","$0.03"
"GPT-5 mini (2025-08-07) (medium reasoning)","59.80","$0.04"
"o3 (2025-04-16)","58.40","$0.33"
"🆕 Devstral small (2512)","56.40",""
"🆕 GPT-5 Mini","56.20","$0.05"
"Qwen3-Coder 480B/A35B Instruct","55.40","$0.25"
"🆕 GLM-4.6 (T=1)","55.40","$0.10"
"GLM-4.5 (2025-08-22)","54.20","$0.30"
"🆕 Devstral (2512)","53.80",""
"Gemini 2.5 Pro (2025-05-06)","53.60","$0.29"
"Claude 3.7 Sonnet (20250219)","52.80","$0.35"
"o4-mini (2025-04-16)","45.00","$0.21"
"Kimi K2 Instruct","43.80","$0.53"
"GPT-4.1 (2025-04-14)","39.58","$0.15"
"GPT-5 nano (2025-08-07) (medium reasoning)","34.80","$0.04"
"Gemini 2.5 Flash (2025-04-17)","28.73","$0.13"
"gpt-oss-120b","26.00","$0.06"
"GPT-4.1-mini (2025-04-14)","23.94","$0.44"
"GPT-4o (2024-11-20)","21.62","$1.53"
"Llama 4 Maverick Instruct","21.04","$0.31"
"Gemini 2.0 flash","13.52",""
"Llama 4 Scout Instruct","9.06","$0.12"
"Qwen2.5-Coder 32B Instruct","9.00","$0.07"
